OBJECTID,FEATURETYPE,DESCRIPTION,CLASS,FID,NAME,OPERATIONALSTATUS,OWNER,INDUSTRYID,ADDRESS,SUBURB,STATE,SPATIALCONFIDENCE,REVISED,COMMENT,LATITUDE,LONGITUDE
299,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,299,Safeway Caltex Echuca,Operational,Caltex,,102 Annesley Street,Echuca,Victoria,5,20110725,,-36.1331,144.752815
300,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,300,Caltex Wodonga,Operational,Caltex,,4397 Anzac Parade,Wodonga,Victoria,5,20110725,,-36.1349549999999,146.904497
301,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,301,Independent Ebden,Operational,Independent Fuel Supplies,,82 Bonegilla Road,Bonegilla,Victoria,5,20110725,,-36.134983,147.008765
302,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,302,Caltex Echuca,Operational,Caltex,,200 Ogilvie Avenue,Echuca,Victoria,5,20110725,,-36.140296,144.753043
303,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,303,Caltex Echuca,Operational,7-Eleven Pty Ltd,,4 Northern Highway,Echuca,Victoria,5,20120713,,-36.141185,144.730234
304,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,304,Caltex Echuca,Operational,Caltex,,44 Northern Highway,Echuca,Victoria,5,20110725,,-36.144624,144.730636
305,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,305,Caltex Tongala,Operational,Caltex,,31 Henderson Road,Tongala,Victoria,5,20110725,,-36.249971,144.947723
306,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,306,Caltex Lockington,Operational,Independent Fuel Supplies,,1 Archibald Street,Lockington,Victoria,5,20110725,,-36.272104,144.536133
307,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,307,Caltex Kyabram,Operational,Caltex,,37 McCormick Road,Kyabram,Victoria,5,20110725,,-36.307407,145.036338
308,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,308,Safeway Caltex Kyabram,Operational,Caltex,,70 Union Street,Kyabram,Victoria,5,20110725,,-36.31229,145.047051
309,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,309,Caltex Wangaratta,Operational,Caltex,,15 Rowan Street,Wangaratta,Victoria,5,20110725,,-36.353508,146.324252
310,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,310,Caltex Rochester,Operational,Caltex,,38-40 Lowry Street,Rochester,Victoria,5,20110725,,-36.3581589999999,144.709323
311,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,311,Ampol Beechworth,Operational,Ampol,,2 High Street,Beechworth,Victoria,5,20110725,,-36.3651179999999,146.682774
312,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,312,Caltex Wangaratta,Operational,Caltex,,70-72 Greta Road,Wangaratta,Victoria,5,20110725,,-36.3654749999999,146.31437
313,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,313,Independent Wangaratta,Operational,Independent Fuel Supplies,,73-75 Greta Road,Wangaratta,Victoria,5,20110725,,-36.369922,146.313603
314,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,314,Independent Everton,Operational,Independent Fuel Supplies,,2128 Great Alpine Road,Everton,Victoria,5,20110725,,-36.433644,146.542334
315,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,315,Caltex Benalla,Operational,7-Eleven Pty Ltd,,191 Bridge Street,Benalla,Victoria,5,20120713,,-36.54871,145.995238
316,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,316,Caltex Benalla,Operational,Caltex,,159-161 Bridge Street,Benalla,Victoria,5,20110725,,-36.5495819999999,145.991298
317,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,317,Safeway Caltex Benalla,Operational,Caltex,,135 Bridge Street,Benalla,Victoria,5,20110725,,-36.5501209999999,145.988426
318,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,318,Caltex Bridgewater On Loddon,Operational,Caltex,,Cnr Calder Highway and Kerang Road,Bridgewater On Loddon,Victoria,5,20110725,,-36.598901,143.937413
319,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,319,Caltex Wahring,Operational,Caltex,,9 Moss Road,Goulburn Weir,Victoria,5,20110725,,-36.7076529999999,145.198539
320,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,320,Safeway Caltex Horsham,Operational,Caltex,,115 Wilson Street,Horsham,Victoria,5,20110725,,-36.71703,142.195034
321,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,321,Caltex Horsham,Operational,Caltex,,88 Streetawell Road,Horsham,Victoria,5,20110725,,-36.732816,142.204505
322,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,322,Caltex Euroa,Operational,Caltex,,38 Clifton Street,Euroa,Victoria,5,20110725,,-36.757109,145.568083
323,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,323,Caltex Avenel,Operational,Caltex,,54 Jones Street,Avenel,Victoria,5,20110725,,-36.9075159999999,145.23959
